,content
242,I have been unable to log into my account for a while now. It keeps on telling ne to sign in. I am very sure that i never even logges out. When i put in ny detaills to sign in they then tell me that i have put in incorrect details. Please see to it
243,"Rating 5 stars not because the app is particularly well made, but because I like the company and its mission"
244,cannot login coursea app Please help me sir
245,I have already verified my I'd but now it show I have not because of the my certificate name is wrong and I can change because of this verification id I have already done there no live chat or customer support that is responding I need help on this but there website also not showing customer service
246,Fantastic
247,No difference between medium and high quality when playing lecture videos on my tablet. I can watch them perfectly on my laptop or smartphone but on my Lenovo tab m10 plus (FHD resolution & widevine L1) videos seem to be on SD.
248,Ok
249,What happened to FREE courses if you don't want or need certification? Looks like Coursera is all about the money now.
250,"This app is very useful but today I come up with a problem . In assignment reviewing section, I can't review others assignment.It says ""something went wrong check ur internet connection."" But I got no network issuse. Kindly fix this bug"
251,Videos is not playing. Can you please look into it?
252,Kind request dnt update your credit or debit card details if you are not planning to subscribe. I lost money multiple time
253,Can't verify id
254,It is one of the best learning apps
255,Very easy to use. Very good especially as it helps me study online. Please make it available for PC too.
256,Cool
257,Ok
258,Best
259,"I am unable to verify my Id on the app, kindly assist urgently"
260,Amazing App. Thank you Cousera
261,🙂
262,Excellent
263,I like that I can cast it to my TV
264,"There is no un-enroll button. I have Coursera Plus and enrolled in multiple courses to check them, but now there is a BIG CLUTTER on my Dashboard with courses that I'll never be taking. Poor UI design. Will consider using other platforms for this very reason."
265,Good
266,Education is good but certificate system sucks.. I've completed 2 courses so far on and have applied for financial aid but I didn't get any reply back from them.. I like how the education is soo good on this app that my knowledge has significantly increased but what about certificate.. now even if I try to pay for the certificate there's no option after course completion..
267,"Worst app ever, they won't even let you submit your assignment even though there's time left in your plan subscription expiry. It's not a learning platform, it's a SCAM!"
268,not easy to update my payment
269,Good
270,Helpful
271,Loving it
272,"I completed my certificate in Foundation of project management by google on your website and I got a certificate with my name on it, but now when I am opening my certificate to download then at the place of my name on the certificate it shows SITE Name, even if I share the certificate with someone else then also it shows SITE Name instead of my name .... I tried to contact you but there is not a single email id i could found on your website to get help thats why I am writing my situation here..."
273,Some of the tasks are not available in app. I have shared the issue with screenshots with the devs via email. But they didn't respond
274,Now i can't login i was logged in before update and it tells check your internet while internet is fine Fix it ..
275,Super
276,"I like the app and the content, I'd love to have a dark mode though"
277,Very good learning platform
278,excellent
279,Best.
280,Nice
281,BUG 1: Audio being played in background even after Activity is cleared from Recents. I guess you forgot to stop the service (Audio Manager?) when activity is destroyed. Please FIX. BUG 2: Why do I need to sign in every time I open the app?
282,"Absolutely awful app , I subscribed for a course but after 4-5 days the subscription got automatically cancelled even after I made the payment and there is no customer support available it's a scam in the name of online classes."
283,"Hi. There's some technical issue that I've come across, while reviewing peer assignment it tells me to check my connection despite havin good internet connection. I have updated it uninstalled it, yet nothingseems to work. Seems like the others are also facing the same issue. Please check upon the issue."
284,"I am sorry for this rate,but really the application got stupid when I start downloading lectures, it takes much time and sometimes it fails to download the videos! Two years ago, I've started using the app and I thought it is just a temporary software bug and it will be fixed, but till now it's the same. Please fix this problem, as Coursera is my best platform ❤️"
285,Gud
286,"I can't find my country on your timezone setting. I'm a Nigerian, and I'm wondering if there are restrictions for Nigerian users? I even tried verifying my ID card but it still thesame problems. We have been using paper ID Card here in my country. Can your customer service help me through my identity verification cause I'm tired of waiting. I need to be assured of my certificate once I'm done learning."
287,I was worried about the refund hence I contact Coursera via mail and they reach out to me immediately and solved the issue.
288,I have been forcefully logged out of my account and I am not able to even reset the password as I am not receiving any password reset emails- how much soever I might try!
289,"Hey personally I really liked this coursera app but the problem is couldn't able to complete exam with in time because this app is not working in my android phone. When ever I tried to attend the weekly challenge exam its shows "" you can't complete this exam on this device "" . Unfortunately I don't have laptop. I know ,Without attending the exam I can't earn google certificate. So for me its waste of money . If this app suitable for android definitely its best app ."
290,It's alright. Where can I submit a complaint about peer reviewed assignments?
291,Learning made simple
