,content
10623,Informative
10624,"Great design, even better cause!"
10625,Can I download the videos in dis app?
10626,It is amazing
10627,Amazing
10628,Great app!!
10629,Great app....it works best for me at least.
10630,Good app
10631,Coursera app is good
10632,Great app with world's best courses
10633,Must have app in every phone for learners.
10634,I jst really hate the fact That most courses at this site are now paid! And they're really expensive too!
10635,No complains overall finest app for learning Thank you couraera because of this app i could complete my course
10636,"It's great to have the course material available and to be able to save things offline. But it crashes often. I've gotten the message ""error accessing quiz"" AFTER having completed the quiz/exam, at which point all my answers are thrown away."
10637,It is a great project. Helps me a lot. Great app
10638,I love coursera & thank you so much coursera team for this useful web & app \m/
10639,Keeps crashing
10640,"Every time I use the application, the touch screen stops responding and the mobile restarts."
10641,"Good app, but more limited than the Web version in some aspects"
10642,"Awesome app,ireally like it."
10643,Very helpful nd good platform to explore our potential !
10644,Great app! Plays the audio even if you turn off the screen.
10645,Great place to learn.
10646,It is very useful app but crashes and freezes a lot.
10647,You gotta pay for every little information that you can actually Google. I don't mind paying but their content is just not worth it.
10648,Good app very handy to learn things on the go
10649,"App.review(""Simply"", ""Awesome"");"
10650,It's wonerful app. I take more than one course which make me get high rank.
10651,I may need this when I go to college.
10652,Very nice
10653,I Love it
10654,Good
10655,The app is brilliant but the contents are even more. Love to have app like these on my phone. Worth having them. And a big thanks for spreading knowledge for free. A big salute to you.
10656,The best
10657,Outstanding relevant courses for developing skills
10658,Crashes too much
10659,I love this app
10660,"Usefull app. Easy, userfriendly."
10661,Ive passed some free and some paid courses. Don't like this service since it became completely paid - free courses dont let access to full content (and assignments) anymore.
10662,Very useful app
10663,Good
10664,Very helpful
10665,App is nice
10666,good.
10667,Es una buena manera de seguir aprendiendo
10668,Wonderful learning app. I suggest it to all my students
10669,Used to be great. Now however all the best features are taken away. I liked how the teachers posted recommended reading material and such in the free version. Yes I understand that it's free so you're not going to get the whole deal but it's little stuff like that that made you feel like you're taking a real class. I do however like some of the new upgrades like the grouping of classes and such very helpful.
10670,I tell later
10671,I enjoy learning with this app
10672,"the offline feature was what closed the deal for me. overall interface is great, loving you more everyday, coursera."
10673,Useful
10674,We are grateful from this informative app
10675,Courses are informative. One can learn a lot if she completes the course.
10676,Quality content!
10677,Please add the functionality of increasing the video speed
10678,I love the app but please make it stream to Amazon Fire Stick
10679,Crashes Everytime
10680,"The video optimization part is superb. High quality videos at a very low size, just love that"
10681,Superb app
10682,"Can you please make a video pause for a built-in quiz when played on Chromecast? There are seem to be issues with casting when the app jumps  several titles ahead on a device screen when videos are played on Chromecast, and they are sometimes played in a wrong order."
10683,Awesome app.
10684,Easy tutors great classes
10685,Good
10686,Very good app. Must have by every learner.
10687,It is great. Looking forward to the experience
10688,One of the best educational resources out there. This have been serving me for almost 3 years now.
10689,Offline is good. But the saved videos disappear after few days of saving. Please fix this
10690,A must have app for all the young people out there who want to increase their knowledge. Love this app abd website very much👍
10691,Nice app
10692,A great app!
10693,nice
10694,I always get messages saying it has stopped working... please stop this..
10695,Nothing is free here. Disappointed
10696,It looks like Chromecast functionality broken with last update
10697,Useful application
10698,"No stress, just knowledge...."
10699,"Nice ap. Nice to learn new skills. I downloaded while on WiFi, which helped save on data costs, but now it doesn't want to download on my phone anymore."
10700,Nirra ishq
10701,It's easy to use though it freezes sometimes
10702,Nice app
10703,It's a great feeling to have such app on phone. Learning mode is always ON.
10704,Nice and very informative app
10705,Good app to learn
10706,This discovery is amazing.
10707,Educational and useful
10708,Great apps!
10709,Easy to use
10710,Thanks
10711,"A Transcript option in the app itself is what was missing for me; since I prefer to read, rather than listen to the lectures.  The value of the content/education is why I rated this so high, despite that small flaw. I made use of the PC version VIA Internet browser in order to utilize this transcript function & completed my course. These certifications are far from simple, the testing is also done well and demands that you retain the knowledge, before passing each course."
10712,Best Online Education App
10713,Good and ease of access interface with well organized course content.Must have app for a computer science graduate.
10714,"Please fix Bug of Wifi Downloading , when wifi disconnected can't compete download when connected !!!"
10715,Coursera is Nice app for online courses. Saving classes to offline helped me lot. But some times the app crashes without any warning. This is occurring only when I am online
10716,It's not working with mimax prime
10717,The app needs the feature of playing videos from where it was stopped previously.
10718,Excitin
10719,Its more than a teacher ..
10720,Good app
10721,It is beneficial
10722,This app is more useful because having it in your Android is like having the the all instrument that you need for your studies at the same time and you will not need to to go to cyber cafe for class
10723,"For some devices,  when the videos are downloaded, they don't show but they actually download. This needs to be rectified"
10724,Good
10725,"I love coursera and I pay for my courses. However this app needs improvement. The app crashes and freezes on my Nexus 6P. The back button doesn't work properly if I open the app from a notification and leads to the app being dismissed, and I cannot return to the main menu. I think more QA testing would really help here."
10726,Great Learning course
10727,"I downloaded lectures offline to view but when loading them up the app froze numerous times. I couldn't access the home screen buttons whilst the video was playing, I would tap screen but nothing... at one point my screen went dark and wouldn't respond to my double taps. I was worried that I killed my screen. Thankfully rebooting got me back to normal screen.  I will continue subject via laptop."
10728,Great app to get new skills
10729,This is a fast way of getting into the desired resources.  The app has it all and very efficient.
10730,Very nice app.
10731,Awesome app!
10732,Its actually good...
10733,"Terrible app, I've tried to download the videos seveal times without success. It works only online."
10734,IT'S NOT FREE.
10735,Would be great if all the courses were fully supported on mobile
10736,Excellent work
10737,Very useful
10738,"I love it. Need to be able to change the video speed, and to resume the video from where I left it last time."
10739,Just amazing and nothing else
10740,I love them.
10741,I cant find the transcript for the lectures. when I try to get it from the site itself I get re-directed to the video in the app
10742,The pictures won't load so I can't actually take the tests. This happened on my tablet and phone.
10743,Good
10744,Nice
10745,The best educational App ever. I'm loving it.
10746,Awesome
10747,I need my Ph.D
10748,This is easily one of the best apps I've ever used. While I'm at work I use this to keep my mind active instead of just standing around. I only wish it could support split screen so I could take notes concurrently. It's amazing otherwise thank you!
10749,It's really a great educational app and offline mode option for videos is highly appreciate able
10750,Awesome app
10751,Invaluable tool to learn new skills and refresh on old ones.
10752,Good solid app but downloaded videos constantly disappear. So not useful offline where I spend half my time.
10753,great...
10754,Nice
10755,"I installed the app but none of the courses worked. The specializations wouldn't even load, and an error message came up when enrolling for a class. I have used the Web version for years but now I might find another provider with better mobile app services."
10756,"I love Coursera, but I find this app of limited value because I can't speed up the videos. I don't like watching them at normal speed, so I only watch them on PC, rather than using the app. This seems to be device-specific: my Samsung S4 Mini doesn't allow me to view sped-up videos, whereas my partner's Samsung S6 Edge does allow this (important) feature."
10757,GREAT HELP AND OFFER. THANK YOU!
10758,Keep improving!
10759,Not opening ....again I started to download
10760,Osm app
10761,Good luck
10762,The most generous courses plate form
10763,very helpful
10764,Full of knowledge
10765,Very helpful in making online study possible.
10766,the review is more about the website and the content. As for the app. I'm still downloading it.. haha
10767,Best educational app
10768,Its a wonderful app.. learning so much each day.. luvd it
10769,Thank you very much Coursera  Very good application but there are some problems in choices.
10770,It's buggy as hell.
10771,Analytics
10772,Please installed it fast
10773,"After recent update, video playing not possible. Video plays for 6seconds and goes refreshing with blank screen"
10774,Perfect
10775,Great app!!!!
10776,One of the best online learning app.
10777,Excellent
10778,Used to be great but now subtitles just ruined the app. Should be our choice to download subtitles or not
10779,Nice app to learn something new easily. But there are some problems because this app is not user friendly. There are not searchable block by which we can filter course but I like contents of this application everything are good there. No doubt if u learn from coursera u can easily Handel any tast for u . Thanks :-)
10780,It is more practical
10781,Thank you!
10782,"The courses are good but the app is not user friendly...there are no filters to select the preferred courses, that's a problem. Also the videos are not available in offline mode"
10783,"really Its good, but I like  to use my computer"
10784,"On trying to review a peer's assignment, it says check your internet connection and try again. My internet connection is fine and all other features of Coursera were working normally. Otherwise it's a great app and has good courses."
10785,Thank you all the professor's and the coursers team....I owe a lot to you...Keep it up
10786,Will
10787,Just took an exam and failed because the choices were not functioning.  Also wanted to access a page on the site and it timed out.  Weirdly I am taking computer technology courses.
10788,Very useful app for those who like to learn as a student.
10789,"App is just okay, the videos in the course are not downloadable, so can't be used offline. Pdf downloads are corrupted. Kindly resolve."
10790,"Excellent and perfect,however after updating I loose all downloaded materials."
10791,Just needs a search feature.
10792,"I love the offline mode, so I may watch it anytime at ease"
10793,"I like the app, but it's not functional offline, even after downloading the videos."
10794,Great
10795,Great app for a great cause
10796,Love it
10797,Confused
10798,"So many great classes to take, great website and app and streaming."
10799,Great
10800,Excellent app and great courses!
10801,It shows network error all the tym.. Please fix it
10802,Good this
10803,What they are doing for the world is nothing short of amazing!
10804,Always the best from Coursera
10805,awesome
10806,"Coursera, now to make money only"
10807,"Very good app, but lacks a sharing or ""save for later"" or wishlist  feature, which is puzzling to say the least, considering this would benefit Coursera and all of it's users on the creator side as well as the consumer side."
10808,It is an amazing app...I loved it❤
10809,It's wonderful.
10810,Extremely Buggy :(
10811,Love it
10812,Haha
10813,"A very drastic downwards update since October 2016. Apps is no doubt badly built, contradict all intents and purposes of MOOC learning. Not sure it's done on purpose. It's time for Coursera to inform public of change in T&C. Even for those non subscribers, we are paying with our time for courses and your apps ranking. Time to come clean..."
10814,👉👏
10815,Good application
10816,Very useful .easy to use
10817,This is great app you should try it
10818,Superb
10819,Super
10820,Just started and so far i'm very pleased with both content and interface
10821,Best app for learning
10822,"You cannot get info on individual classes, just the specializations. I'm used to the pc version that allows you to get info on individually classes ."
10823,Great app
10824,Excellent classes
10825,Knowledge app
10826,Average....beginner level stuff
10827,"The app becomes unresponsive from lock screen and makes phone unresponsive. The only option is to restart the phone. Almost useless as I was planning to watch video while travelling to and from work. Don't get me wrong the courses are great, but the app needs improvements."
10828,Very very buggy
10829,Oo
10830,Great app! :-) Although the fast forward button does not work...
10831,"It used to be ""we give knowledge to people for free and make world a better place"". And now it's more like ""haha we got you! now that you are hooked on, you pay for EVERYTHING!"". Up yours you capitalist pig! I'm out for good."
10832,Great Job....
10833,"Not helping at all, why paying for the certs......"
10834,The best things in life are free...
10835,Amazing
10836,ممتازة
10837,It is great
10838,You provide millions of people opportunity to achieve their goals even if they are already working. This is a great way to add in your personality a new brighter layer.
10839,Awesome
10840,Could be better if i was able to see what videos i saved. And have a list of them
10841,"No more quizzes without purchasing the certificate! Unbelievable! I used to love this app and took many courses but I just tried to submit a quiz for a new course and it only allowed me to see the questions as ""preview"" and in order to submit my answers and see how I did I need to purchase the certificate for $49! That's a total rip-off! I can't believe how greedy something that used to be so good has become! I used to be able to do everything besides the official certificate and now there's no longer any excitement if I'm only allowed to ""audit"" without knowing how I'm doing. Terrible!"
10842,Much info and very useful
10843,Amazing app
10844,It would have been better if there was an option to download the videos to sd card like udemy
10845,It's very helpful and i love it so muchhh
10846,Unable to Sign in or sign up. It says network error. While all my other phone apps are working just fine on this network.
10847,"When you get an email notification that someone commented on a discussion thread you follow, the link in the email doesn't take you to that thread. It just opens Coursera app and you have to find the thread on your own."
10848,Everything costs money... I thought it was free?
10849,Excellent for study
10850,A really cool app...let's u to connect all over the globe...
10851,One of the best aps ever
10852,Crash problem
10853,I have not better product in online courses industry than coursera. Keep doing good work guys.
10854,"Two issues especially with offline viewing: 1. Saved videos for offline viewing are, in a few days, automatically deleted (don't know it it has been designed with a time clock to self delete? Pls make it clear it is). I then have to save them all again which uses my mobile data (not free!) and time. It has happened thrice. A hindrance to learning. 2. When the video is paused and played later, it doesn't continue from the last timing of the play it was left at, but it starts from the beginning. Plus it doesn't have the feature for smooth forward (soundcloud app has it even when buffering over online data lest offline). The app is user friendly though but some issues are hindering learning experience for me personally."
10855,A lovely app from an amazing MOOC site
10856,that's great.
10857,Bad
10858,Made my life easier
10859,Very nice
10860,Nice one
10861,Easy to use
10862,It would be better if you added an option to change the speed of the videos in the app (the same way it is on the video player on the website).
10863,"Best App for MOOCs, please provide a way to view and manage all offline videos."
10864,i is fine
10865,Good
10866,Nice website but app freezes my Redmi note 3 too frequently in online mode
10867,I simply love their courses. It's a window to unlimited knowledge
10868,This has made learning more easy for me thx guys u have done a great job
10869,Best app to never stop learning ❤❤❤
10870,It has issues
10871,Excellent
10872,Phenomenal!!
10873,Quizzes still don't load properly
10874,The one and only!
10875,Thanks
10876,Good
10877,It brings the classroom right were  you are. Its fantastic
10878,Perfect application
10879,No more excuses not to learn something.
10880,Flawless  app
10881,Awesome
10882,Awesome portal for learning the subject you love
10883,Amazing online school. I hope in the future more courses about art and film industry
10884,Best there is
10885,Have it
10886,Great apps
10887,I think we can partner in nigeria... nice work guys
10888,Nice
10889,Huge thanks
10890,nice app helps a lot need some courses over biomedical
10891,An excellent platform for self development
10892,"Gave dis app 5 stars previously, but am finding it difficult 2 review peer assignments as well as making payments,d app nids an update"
10893,Very helpful
10894,"Great stuff, have some minor issues, but overall is damn awesome!"
10895,Nice app
10896,Unreliable offline
10897,Great app
10898,very useful and easy to use.
10899,App is not replaced by website.
10900,"Unable to enroll , no help support"
10901,Fast
10902,Very good
10903,Excellent app. Literally glitch free. Keep up the good work guys.
10904,Excellent way of learning
10905,Very useful and helpful website
10906,I liked.
10907,"Good control on downloaded content, you decide when to download and when to remove to save space."
10908,To like this app for the offline mode
10909,Could you help so that the downloaded videos have the relevant titles and not unintelligible gibberish as their filenames..
10910,Permissions .Why does this app need a cess to my calendar and contacts? There are many other  security threat vectors.
10911,I like this app
10912,Excellent app
10913,Great app to learn.
10914,very very nice just loved it nicely explained hmmm very nice
10915,Fulfilled curiosity of people in different subject by Coursera  nice way.
10916,Please add the feature of screen rotation (upside down) while watching videos. It will be helpful.
10917,It's awesome
10918,It’s an amaizing aplication for poor student to prove themsilves
10919,"Learning on the go, proving to a very good learning resource for me"
10920,"ReleaseLoggingT thread is a CPU hog when using external sdcard storage, the application became almost unusable when courses are being downloaded in the background. and it heats up the devices quickly to reach the thermal throttling point."
10921,It good app for knowledge of any course
10922,Good
10923,"Crashes and removes previously downloaded video if you quit app for a second, like for a chat"
10924,"Update : crashes Everytime I open the app.         Almost infinite courses, of which most are free but a little for certificate, which you can pay later, and deadlines so that you stay focused. This is a perfect place to learn anything."
10925,Very helpful!
10926,It says you can opt for free but I am not able enroll free as I don't need certification
10927,I like Coursera but not all my courses are working in app. I have to use browser instead app for such courses. Please fix this bug and I will put 5 start rating as you deserve.
10928,It works
10929,Best App
10930,Very usefull
10931,Still lot of things to improve
10932,Great
10933,Its awsome
10934,Very Helpful for poor students in developing countries
10935,It's an amazing job you people are doing
10936,Nice interface
10937,Useless
10938,Very useful app
10939,I started using the Android app and it is so slow and frustrating. I am not able to open few lessons which I was reading from web. Some tabs were lagging. Bad experience with Android app. But Coursera is a very good that's why gave 2 stars
10940,not optimised for Android tablets?
10941,Excellent
10942,Easy learning...works offline efficiently except for quizzes.
10943,"To be young again, to TAKE advantage of what TODAY offers; APPLYING what I learned YESTERDAY."
10944,a feature to download lectures to external SD card would be very useful
10945,"I have no problem with Coursera itself because it is very helpful and useful. My problem, however, is with the app. It has a lot of bugs that I cannot even begin to describe. It lags,   and displays error messages when I save and/or submit my homework; it displays error messages when I submit peer reviews"
10946,Free classes. College credits!! I love this app!
10947,Now the app is unusable. I can't find my courses or search for new ones.
10948,wow
10949,It would be great if you add notification 🔔 reminders to stay focused on courses 👍
10950,"Pertaining to quizzes that pop up in the midst of a video, many times the images do not load so it's not possible to answer those questions that rely on the images."
10951,We students are very thankful for such beautiful collection of lectures all around the world.One can go for buckets of online courses which is helpful for enhancing your skills as well as knowledge.Thanks courses😃😃😃
10952,Its amazing
10953,Cool !!!
10954,It allows me to learn on the go...!
10955,Good
10956,"This is an exceptional learning tool, keep up the good work"
10957,It can't function
10958,My coursework doesn't update even though I finished them online. I find that a bit frustrating. Apart from that everything works well and app is very clean.
10959,I like this app but I am facing issues since I have installed the latest version of Coursera on Samsung E700. There is no sound in the videos for any course that I choose. My sound system is fine as it works in other applications. Kindly check into this.
10960,"Another new version, another set of bugs. Now that you charge for ""free courses"", you'd think you could afford an app that works. The autoplay for video skips the next video and jumps two ahead. I didn't even realize it for a while. At the end of the course in realized I never saw a whole bunch of videos. The titles displayed while the video is playing doesn't match the content."
10961,For courses while other apps doesn't
10962,Good
10963,This is the best app ever for learning. It's a whole university in the palm!!
10964,Great app easy to use
10965,Nice application. But sometimes offline video showing blank screen. Please fix this issue
10966,Lots of subject matter professionally presented. Who needs college?
10967,A great platform for learning ....
10968,Downloaded videos are sometimes saved and sometimes not saved
10969,Best
10970,Can study from my phone
10971,app crashes everytime is try to log in... Doesn't go beyond that
10972,"Very easy to use. Except that sometimes when you accidentally click on a lesson and go back to the course page without having watched the video, it shows the lesson as complete."
10973,The best educational application I had ever seen.Thanks for providing free courses.
10974,The app is great and the content is amazing. I love that it has the option to play the videos on my TV via Google Chromecast.
10975,"Very good app, if u want to really learn something then u must download it first, especially every aspiring data scientists must have this app"
10976,Only way for commoners to obtain IVY League pedagogy
10977,"An amazing app, fast, suitable and handy. Just like it."
10978,Amazing app.
10979,"I'm learning this application chines language, and many other courses that is important for personality"
10980,Amazing app
10981,That's very useful
10982,I enjoy the way the program presents the materials of the different courses.
10983,today only i knew about this site. very happy to know about all this.
10984,Good
10985,Love this app
10986,Sometimes it autoclose
10987,"Great courses, but the app itself is terribly buggy and unstable."
10988,Awesome
10989,Big thanks to coursera for easy learning
10990,Will change the centries old way of learning
10991,Very useful app for scholarship
10992,Loving it
10993,"The courses delivered are of a very high quality and offered by the best universities and institutes. The offline feature allows you uninterrupted access. Great job, thanks!"
10994,App is designed well and courses are good
10995,"Save for offline, is awesome"
10996,"It would be very helpful if there are transcripts for the videos on the app itself. Some students learn much better when reading as well as listening and, at least for me, it makes it a little easier if I could read along."
10997,Pleaee add an option to browse the vedio subtitles  as text files .
10998,"Useful, wide ,technical everything  is  for you."
10999,Brilliant!
11000,"I installed the app out of curiosity. They spammed me daily with junk emails, ads, and update notifications, until I uninstalled it."
11001,That the best app i've ever seen
11002,Good user friendly.
11003,"I love taking all this knowledge with me in my pocket. Just download and listen to in any opportunity. One note though: I would want to be able to read the transcript through the app, in a standard text format. In many cases it's easier and more beneficial than listening."
11004,Great experience in learning anywhere
11005,La App está bien pero no permite todas las funcionalidades de la web.
11006,Learning a lot from Universities that I can't afford.
11007,"Have taken several online courses, they're great!"
11008,Great- user friendly tools and fantastic lecturers!
11009,Best wishes for work .this is the best learning way ..
11010,"Quit sending me emails, I would be happy to unsubscribe if there where a way to."
11011,Really good
11012,Don't work subtitles (
11013,Perfect. Top company. Top app. Congratulations.
11014,Learning at your own pace is the way to go.
11015,"A couple issues with rotations & video playback and loading saved videos when not having Internet connectivity (subway), but IMHO these are minor issues. Psyched to see that Coursera values its Android user base with a great app. Props to the engineering team--an excellent experience and fantastic execution!!!"
11016,This app is so innovative and dynamic that I can't just stop using it.
11017,Superb
11018,"Easy to use, user friendly, informative and very good for educational purposes."
11019,"First of all, it's very tedious to download offline video fit the whole course. To make it worse, they are hidden somewhere. It's not over yet, I downloaded a whole course to watch during my travel and all the videos are either not showing the app or are somehow erased from phone's memory"
11020,I can promise that you will learn so many things.
11021,Video streaming and download is a catastrophe. Quizes crashes on submitting sometimes.
11022,sufficiently slow to mke the app unworthy.
11023,Absolutely fantastic and a great way to learn basically anything.... Free. Much of the materials used within the classrooms are from some of the best universities. A must for those seeking knowledge and wisdom.
11024,Very good
11025,Awesome
11026,Everytime it got crashed ...whenever I my internet connection is active
11027,"Great project, great app"
11028,Fantastic !!!!!!
11029,i love aap
11030,Enhance your knowledge
11031,Great interface and the offline mode is best
11032,Useful
11033,"Great app. Offline learning was what I expected. Now, I have it. Thank you Coursera"
11034,Great one.
11035,Useful
11036,It helps me reinvent Status Quo on a daily basis ;)
11037,"I hope it be more optimised, either. I have a fast phone but experience issues often."
11038,Good application for learning
11039,Good
11040,Helpful
11041,"Hey!You wanna learn, try this.Trust me there is no dearth of knowledge."
11042,Great learning from home
11043,I love Coursera
11044,K
11045,I love it. No regrets
11046,Subsae bediyaa app
11047,Perfect
11048,Excellent
11049,I have it and nice one to learn
11050,great apps for self study and self improvements
11051,"Good App, deliver studies on the Go!"
11052,This app isn't detecting 2MBps bandwidth on my Jio 4G network instead it downloads video at 10KBps
11053,The pictures in the quizes doesn't load about 50% of the time. It's not fun like that.
11054,Great app for self improvement
11055,so I wouldn't have to come across with foreign courses that are not spoken in English it a rly long scrolling :/
11056,No complications. Easy to handle..
11057,"With coursera, one can be master of all trades."
11058,I love this app thi....is much. Very easy to use.
11059,"Coursera is an important learning tool, increasing accessibility to knowledge. However, the app has a lot of bugs. Hope it gets fixed soon."
11060,Nice
11061,"With the last update I really cannot imagine why this app may ever be more useful, than site in browser"
11062,"Good courses, good teachers, easy to use, very educational."
11063,Love the app but your courses are a bit expensive though 😂😂
11064,Amazing
11065,It's very easy to access and very easy to learn from.
11066,"This app is very effective. It will access the students any time any where for its ""save off line"" option. Many thanks to the developer."
11067,Excellent
11068,Child nutrition n cooking
11069,Thank you for your application. I love you coursera.
11070,Perfect
11071,I love it. Can't say how much i enjoy online education :-D
11072,The best inline learning App ever seen.
11073,I can't finish my assignment through this app
11074,Good
11075,Very very helpful
11076,Casting feature is a winner
11077,After learning the courses.will it provide certificate?
11078,Brilliant
11079,Lovely app
11080,Great app for learning.
11081,Good
11082,It's very useful and understand to HTML language and java script language thank to coursera team....
11083,It's the best gift for a student
11084,the application became almost unusable when courses are being downloaded in the background.it forces my phone to reboot several times  in android marshmallow Hauwei Nova Plus
11085,MST
11086,"An excellent conduit to access ivy league education cheaper. Assistance from the coursera  support team readily available. It is a decent platform to amass knowledge and skills , and to enhance your resume.  Loving it."
11087,App used to work perfectly. Now it does not work with my Chromecast.
11088,Contents wont load on 10mbps speed as well
11089,useful
11090,"Its very enriching, thank you for this great idea"
11091,Needs improvement
11092,"Was doing fine, but today all the courses I've tried have been stuttering, and I changed my wi-fi to check it's not caused by low bandwidth. Nexus 7 (2013) UK."
11093,Commendable app for students.
11094,This app is very useful for those who are looking for expertise in specific field.
11095,Very good and free
11096,Too good to be free
11097,One of the best app for the self learner.......
11098,It's awounderful application in learning over the Internet. I love it so much
11099,"I have started machine learning course and found that, in assignment section, assignments and weeks do not match, please fix it."
11100,Good
11101,It's great! I just completed my MBA!
11102,"This app is highly recommended. For those hungry for knowledge like myself, you can now study at ease and at little or no cost. Enjoy"
11103,"This App is very useful,it helps me broaden my horizons."
11104,i want to thank to the developers with my heart cuz its free....best app for learning
11105,superb
11106,Excellent
11107,But contents are not enough.
11108,It is perfect  for learning
11109,"I used to really like Coursera, but I don't have the time to commit to it to make it worth $79/mo, that would have been at least 2 classes under the old model.  I work full time, have a kid so time is limited and I can only commit to one class at a time.  The program itself works fine, but unless you have time to commit full time to commit classes don't bother downloading this app."
11110,A very specialized learning app. I love it.
11111,There should be seperate section for paid and free section.
11112,"Samsung Galaxy Note -- ""Open Tool"" button does not function."
11113,It's useful app for learner
11114,I can move the app to my SD card but any download for offline viewing is stored on the phone's memory which make it pointless to have moved the app. You might not be using the KitKat API because once moved to the SD card the icon dissappear from the main screen every time I restart the phone.
11115,"Every few videos, the app would freeze but the video would keep playing with no way to stop it. Force closing the app doesn't stop the video making a reboot of the phone the only solution. The app is unusable because of that."
11116,The app is so full of bugs. They're too many to be mentioned here. And the website is down most of the time. You guys offer courses about programming and can't fix your own app and website.
11117,"I started to watch videos using my data plan, and few videos later is stopped loading, I changed to wifi connection ( several networks) and still got the message (connection problem), other than that I would give it 5 stars"
11118,I can not watch videos saved for offline while in airplane mode. How could you not test this crucial functionality??
11119,So educative app i ever use this whole time tho 😎😎
11120,"I really want to like this application, but the mobile developer is still not ready for prime time. The application has become better, but still doesn't feel mature. I spent a long time downloading the videos at home so I could watch them offline, but a recent update deleted ALL the videos."
11121,The tool through which you complete assignments does not open at all!!!
11122,This is the best app for online educatio. Reliable and easy! It has many more to offer. I strogly recommend this to all.
11123,Its a great platform to learn and get updated and also time saving and convenient.I love it
11124,Simplified
11125,A place where you can spread your wings and fly in a world of knowledge.
11126,Ng
11127,Video is not appearing on tv with chromecast
11128,Superb.....love this
11129,"Los cursos son muy buenos, me gustaría poder tener tiempo de tomar varios al mismo tiempo."
11130,Fantastic
11131,Education is the  BIGGEST  assets .
11132,Very useful
11133,I'm trying to download it but an error occurs again and again help me out in downloading this app
11134,Its such an awesome app for taking a course and learning new stuff. The entire structure is easy and intuitive to follow and every feature of the app works smoothly towards one goal -  keeping you on track and focused about your learning.
11135,Its an  excellent way to learn.
11136,Nice
11137,Really useful. Thanks for enabling those courses for people all around the world from top schools
11138,Good one..
11139,Video speed is not changing. This hiders my learning rate. The downloading feature is nice though.
11140,Excellent app to learn...!
11141,Good
11142,Its not free as u describe..most of it u have to pay
11143,Just that but I love it
11144,"The app fails to download - always shows the status as ""pending download"". I have tried several times in the past one week."
11145,But finally we got any course completion certificate ?
11146,"Many times I start the app , the mobile restarted, especially when download"
11147,Thank you for making quality education available in this way!
11148,"Coursera, the best ever..."
11149,Very useful app
11150,perfect
11151,The door opens the horizon of knowledge.
11152,I think it is very helpful for everyone.. Let's get benefit from it
11153,Awesome
11154,"The app hangs quite often on my phone.( Redmi Note 3,  lollipop)"
11155,Cannot navigate to home screen with all my courses
11156,Wants your private password to your email account DON'T TOUCH IT !!!!!!!
11157,loving it...
11158,I m using this app. You can use.
11159,This application is handy when you want to watch lectures either as a review or while away from your notebook or desktop computer.
11160,Very good n cool app
11161,"Very very useful in learning anytime anywhere,  and is extremely useful in learning anything."
11162,it's easy to use
11163,Great gyz keep up the good work
11164,App is nice
11165,App
11166,"The interface is user-friendly and makes sense, and offline mode is perfect especially if you like to study courses on a plane."
11167,Well made app
11168,"When I watch a lecture, independently on the value I select for video speed (2.0x or 1.5x)tje video plays always at 1.0x speed. This is a very bothersome bug!"
11169,Gets you engaged and focused. I love coursera app.
11170,"Not responding in subways, when I need it the most."
11171,You have to pay for everything I want and nothing else good
11172,"One issue I've noticed is that, for some reason, the Coursera App does not show up on the list of active apps on my Asus Zenfone 2, running Android 4.4.2. Other than that, it has allowed me to carry on with my course while away from the desktop."
11173,Thanks a lot for helping many people to study
11174,It's amazing.
11175,Still have to take it for a ride
11176,"When I open the app and play a video, suddenly the app crashes but the audio will continue in the background. I tried to close the app, did a force stop and even cleared the app cache and whole data but still the audio plays in the background. Finally I had to restart my mobile to stop the audio..  Please solve this issue.. I'm not able to complete my courses on time.. This is happening a lot recently."
11177,Amazing app with amazing courses.
11178,"Please add functionality for variable speed playback, or at least save the downloads in a public directory."
11179,An amazing educational tool
11180,"Currently, I love this app. It gives you the ability to learn anything you want for free online, but the only drawback that I've experienced is how I am unable to submit my answers at the end of the test. It always replaces my input with a couple of lines of code, and says I got the answer wrong, even though it was the answer I submitted."
11181,It is not free
11182,Online courses
11183,Is the certificate valid in India???
11184,For ever downloading even on android device !!!myb its the handset am using
11185,Good app
11186,Dirty app
11187,Love it.
11188,Can't download videos anymore. Why? It used to be good.
11189,It's use full
11190,This site includes many useful course in most of seintific subject
11191,It would be better if there is a way to take and save notes in the app.
11192,The best to educate online from the world universities More than college
11193,Essential
11194,Vibrant courses and had freedom to choose anything.Great work and Very thankful to the team
11195,"Crashes frequently, forces re downloads, hard to use offline because it's so buggy."
11196,"In quiz screen, you guys are possibly adding views (or data to recyclerview/ListView) in onResume(), so everytime I press home button then reopen the app, the content of the screen gets doubled. This is a big app which shouldn't have this trivial kind of bugs."
11197,"The app takes ages to cast to Chromecast and it only casts audio, not video...."
11198,"The casting function would work better. I often only get audio if it works, which it does not on occasion. Please fix this. I use a note 5 with the latest chromecast on a 802.11 n wifi network."
11199,Awesome app! Works well on and offline!
11200,Like very much
11201,Educational
11202,I love this app
11203,Download it great app ever
11204,Best companion of my leisure
11205,I only can play video over mobile data. Please fix
11206,Love coursera
11207,So far so good. Surprised to find out I can download.  I had been taking the course on the desktop
11208,My rating is not so much for the app but more for what the company is trying to achieve. I have done a few courses through the app and it is quite brilliant!
11209,Am really improved by it
